run,type,module,name,attrname,attrvalue,value
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,datetime,20210125-18:32:11,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,iterationvars,"$0=0.15, $1=10",
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,iterationvarsf,"0.15,10-",
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,measurement,"$0=0.15, $1=10",
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,network,slottedNetwork,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,processid,37937,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,repetition,13,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,replication,#13,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,resultdir,results,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,runnumber,413,
ThroughputVerification2-413-20210125-18:32:11-37937,runattr,,,seedset,13,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.sendProbability,0.15,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.numTransmitters,10,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.isBackoff,false,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.numChannels,1,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.expMean,1s,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.timeSlotSize,2s,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.numTransmitters,1,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.numChannels,1,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.sendProbability,1,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.expMean,5s,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.timeSlotSize,5s,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.isBackoff,true,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.sendProbability,0.15,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.numTransmitters,10,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.isBackoff,false,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.numChannels,1,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.expMean,1s,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.timeSlotSize,2s,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.numTransmitters,1,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.numChannels,1,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.sendProbability,1,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.expMean,5s,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.timeSlotSize,5s,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-413-20210125-18:32:11-37937,param,,,**.isBackoff,true,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,datetime,20210125-18:32:14,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,iterationvars,"$0=0.15, $1=10",
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,iterationvarsf,"0.15,10-",
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,measurement,"$0=0.15, $1=10",
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,network,slottedNetwork,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,processid,38016,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,repetition,28,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,replication,#28,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,resultdir,results,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,runnumber,428,
ThroughputVerification2-428-20210125-18:32:14-38016,runattr,,,seedset,28,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.sendProbability,0.15,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.numTransmitters,10,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.isBackoff,false,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.numChannels,1,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.expMean,1s,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.timeSlotSize,2s,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.numTransmitters,1,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.numChannels,1,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.sendProbability,1,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.expMean,5s,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.timeSlotSize,5s,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.isBackoff,true,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.sendProbability,0.15,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.numTransmitters,10,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.isBackoff,false,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.numChannels,1,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.expMean,1s,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.timeSlotSize,2s,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.numTransmitters,1,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.numChannels,1,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.sendProbability,1,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.expMean,5s,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.timeSlotSize,5s,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-428-20210125-18:32:14-38016,param,,,**.isBackoff,true,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,datetime,20210125-18:32:12,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,iterationvars,"$0=0.15, $1=10",
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,iterationvarsf,"0.15,10-",
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,measurement,"$0=0.15, $1=10",
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,network,slottedNetwork,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,processid,37976,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,repetition,20,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,replication,#20,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,resultdir,results,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,runnumber,420,
ThroughputVerification2-420-20210125-18:32:12-37976,runattr,,,seedset,20,
ThroughputVerification2-420-20210125-18:32:12-37976,param,,,**.sendProbability,0.15,
ThroughputVerification2-420-20210125-18:32:12-37976,param,,,**.numTransmitters,10,
