run,type,module,name,attrname,attrvalue,value
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,configname,ThroughputVerification,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,datetime,20210124-16:52:57,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,iterationvars,"$0=0.4, $1=5",
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,iterationvarsf,"0.4,5-",
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,measurement,"$0=0.4, $1=5",
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,network,slottedNetwork,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,processid,29323,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,repetition,38,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,replication,#38,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,resultdir,results,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,runnumber,238,
ThroughputVerification-238-20210124-16:52:57-29323,runattr,,,seedset,38,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.sendProbability,0.4,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.numTransmitters,5,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.isBackoff,false,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.numChannels,1,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.expMean,1s,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.timeSlotSize,2s,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.numTransmitters,1,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.numChannels,1,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.sendProbability,1,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.expMean,5s,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.timeSlotSize,5s,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-238-20210124-16:52:57-29323,param,,,**.isBackoff,true,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,configname,ThroughputVerification,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,datetime,20210124-16:52:50,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,iterationvars,"$0=0.4, $1=5",
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,iterationvarsf,"0.4,5-",
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,measurement,"$0=0.4, $1=5",
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,network,slottedNetwork,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,processid,29143,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,repetition,4,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,replication,#4,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,resultdir,results,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,runnumber,204,
ThroughputVerification-204-20210124-16:52:50-29143,runattr,,,seedset,4,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.sendProbability,0.4,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.numTransmitters,5,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.isBackoff,false,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.numChannels,1,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.expMean,1s,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.timeSlotSize,2s,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.numTransmitters,1,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.numChannels,1,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.sendProbability,1,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.expMean,5s,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.timeSlotSize,5s,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-204-20210124-16:52:50-29143,param,,,**.isBackoff,true,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,configname,ThroughputVerification,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,datetime,20210124-16:52:50,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,iterationvars,"$0=0.4, $1=5",
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,iterationvarsf,"0.4,5-",
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,measurement,"$0=0.4, $1=5",
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,network,slottedNetwork,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,processid,29128,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,repetition,1,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,replication,#1,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,resultdir,results,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,runnumber,201,
ThroughputVerification-201-20210124-16:52:50-29128,runattr,,,seedset,1,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.sendProbability,0.4,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.numTransmitters,5,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.isBackoff,false,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.numChannels,1,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.expMean,1s,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.timeSlotSize,2s,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.numTransmitters,1,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.numChannels,1,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.sendProbability,1,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.expMean,5s,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.timeSlotSize,5s,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-201-20210124-16:52:50-29128,param,,,**.isBackoff,true,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,configname,ThroughputVerification,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,datetime,20210124-16:52:55,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,iterationvars,"$0=0.4, $1=5",
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,iterationvarsf,"0.4,5-",
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,measurement,"$0=0.4, $1=5",
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,network,slottedNetwork,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,processid,29262,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,repetition,26,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,replication,#26,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,resultdir,results,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,runnumber,226,
ThroughputVerification-226-20210124-16:52:55-29262,runattr,,,seedset,26,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.sendProbability,0.4,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.numTransmitters,5,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.isBackoff,false,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.numChannels,1,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.expMean,1s,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.timeSlotSize,2s,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.numTransmitters,1,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.numChannels,1,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.sendProbability,1,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.expMean,5s,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.timeSlotSize,5s,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-226-20210124-16:52:55-29262,param,,,**.isBackoff,true,
ThroughputVerification-232-20210124-16:52:56-29293,runattr,,,configname,ThroughputVerification,
ThroughputVerification-232-20210124-16:52:56-29293,runattr,,,datetime,20210124-16:52:56,
ThroughputVerification-232-20210124-16:52:56-29293,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-232-20210124-16:52:56-29293,runattr,,,inifile,omnetpp.ini,
