run,type,module,name,attrname,attrvalue,value
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,datetime,20210125-18:31:41,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,iterationvars,"$0=0.1, $1=30",
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,iterationvarsf,"0.1,30-",
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,measurement,"$0=0.1, $1=30",
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,network,slottedNetwork,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,processid,37252,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,repetition,9,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,replication,#9,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,resultdir,results,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,runnumber,289,
ThroughputVerification2-289-20210125-18:31:41-37252,runattr,,,seedset,9,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.sendProbability,0.1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.numTransmitters,30,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.isBackoff,false,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.numChannels,1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.expMean,1s,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.timeSlotSize,2s,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.numTransmitters,1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.numChannels,1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.sendProbability,1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.expMean,5s,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.timeSlotSize,5s,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.isBackoff,true,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.sendProbability,0.1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.numTransmitters,30,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.isBackoff,false,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.numChannels,1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.expMean,1s,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.timeSlotSize,2s,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.numTransmitters,1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.numChannels,1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.sendProbability,1,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.expMean,5s,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.timeSlotSize,5s,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-289-20210125-18:31:41-37252,param,,,**.isBackoff,true,
ThroughputVerification2-312-20210125-18:31:49-37411,runattr,,,configname,ThroughputVerification2,
