run,type,module,name,attrname,attrvalue,value
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,datetime,20210125-18:32:23,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,iterationvars,"$0=0.15, $1=30",
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,iterationvarsf,"0.15,30-",
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,measurement,"$0=0.15, $1=30",
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,network,slottedNetwork,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,processid,38158,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,repetition,16,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,replication,#16,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,resultdir,results,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,runnumber,456,
ThroughputVerification2-456-20210125-18:32:23-38158,runattr,,,seedset,16,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.sendProbability,0.15,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.numTransmitters,30,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.isBackoff,false,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.numChannels,1,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.expMean,1s,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.timeSlotSize,2s,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.numTransmitters,1,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.numChannels,1,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.sendProbability,1,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.expMean,5s,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.timeSlotSize,5s,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.isBackoff,true,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.sendProbability,0.15,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.numTransmitters,30,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.isBackoff,false,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.numChannels,1,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.expMean,1s,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.timeSlotSize,2s,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.numTransmitters,1,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.numChannels,1,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.sendProbability,1,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.expMean,5s,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.timeSlotSize,5s,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-456-20210125-18:32:23-38158,param,,,**.isBackoff,true,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,datetime,20210125-18:32:26,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,iterationvars,"$0=0.15, $1=30",
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,iterationvarsf,"0.15,30-",
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,measurement,"$0=0.15, $1=30",
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,network,slottedNetwork,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,processid,38203,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,repetition,25,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,replication,#25,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,resultdir,results,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,runnumber,465,
ThroughputVerification2-465-20210125-18:32:26-38203,runattr,,,seedset,25,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.sendProbability,0.15,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.numTransmitters,30,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.isBackoff,false,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.numChannels,1,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.expMean,1s,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.timeSlotSize,2s,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.numTransmitters,1,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.numChannels,1,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.sendProbability,1,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.expMean,5s,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.timeSlotSize,5s,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.isBackoff,true,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.sendProbability,0.15,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.numTransmitters,30,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.isBackoff,false,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.numChannels,1,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.expMean,1s,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.timeSlotSize,2s,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.numTransmitters,1,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.numChannels,1,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.sendProbability,1,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.expMean,5s,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.timeSlotSize,5s,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-465-20210125-18:32:26-38203,param,,,**.isBackoff,true,
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,datetime,20210125-18:32:20,
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,iterationvars,"$0=0.15, $1=30",
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,iterationvarsf,"0.15,30-",
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,measurement,"$0=0.15, $1=30",
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,network,slottedNetwork,
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,processid,38128,
ThroughputVerification2-450-20210125-18:32:20-38128,runattr,,,repetition,10,
