run,type,module,name,attrname,attrvalue,value
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,datetime,20210125-18:31:28,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,iterationvars,"$0=0.1, $1=5",
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,iterationvarsf,"0.1,5-",
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,measurement,"$0=0.1, $1=5",
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,network,slottedNetwork,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,processid,36981,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,repetition,35,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,replication,#35,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,resultdir,results,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,runnumber,235,
ThroughputVerification2-235-20210125-18:31:28-36981,runattr,,,seedset,35,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.sendProbability,0.1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.numTransmitters,5,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.isBackoff,false,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.numChannels,1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.expMean,1s,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.timeSlotSize,2s,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.numTransmitters,1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.numChannels,1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.sendProbability,1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.expMean,5s,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.timeSlotSize,5s,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.isBackoff,true,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.sendProbability,0.1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.numTransmitters,5,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.isBackoff,false,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.numChannels,1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.expMean,1s,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.timeSlotSize,2s,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.numTransmitters,1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.numChannels,1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.sendProbability,1,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.expMean,5s,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.timeSlotSize,5s,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-235-20210125-18:31:28-36981,param,,,**.isBackoff,true,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,datetime,20210125-18:31:27,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,iterationvars,"$0=0.1, $1=5",
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,iterationvarsf,"0.1,5-",
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,measurement,"$0=0.1, $1=5",
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,network,slottedNetwork,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,processid,36941,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,repetition,27,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,replication,#27,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,resultdir,results,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,runnumber,227,
ThroughputVerification2-227-20210125-18:31:27-36941,runattr,,,seedset,27,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.sendProbability,0.1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.numTransmitters,5,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.isBackoff,false,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.numChannels,1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.expMean,1s,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.timeSlotSize,2s,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.numTransmitters,1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.numChannels,1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.sendProbability,1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.expMean,5s,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.timeSlotSize,5s,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.isBackoff,true,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.sendProbability,0.1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.numTransmitters,5,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.isBackoff,false,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.numChannels,1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.expMean,1s,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.timeSlotSize,2s,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.numTransmitters,1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.numChannels,1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.sendProbability,1,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.expMean,5s,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.timeSlotSize,5s,
ThroughputVerification2-227-20210125-18:31:27-36941,param,,,**.deterministicInterarrivalTime,false,
