run,type,module,name,attrname,attrvalue,value
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,datetime,20210125-18:30:53,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,iterationvars,"$0=0.05, $1=10",
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,iterationvarsf,"0.05,10-",
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,measurement,"$0=0.05, $1=10",
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,network,slottedNetwork,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,processid,36264,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,repetition,13,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,replication,#13,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,resultdir,results,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,runnumber,93,
ThroughputVerification2-93-20210125-18:30:53-36264,runattr,,,seedset,13,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.sendProbability,0.05,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.numTransmitters,10,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.isBackoff,false,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.numChannels,1,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.expMean,1s,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.timeSlotSize,2s,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.numTransmitters,1,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.numChannels,1,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.sendProbability,1,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.expMean,5s,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.timeSlotSize,5s,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.isBackoff,true,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.sendProbability,0.05,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.numTransmitters,10,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.isBackoff,false,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.numChannels,1,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.expMean,1s,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.timeSlotSize,2s,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.numTransmitters,1,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.numChannels,1,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.sendProbability,1,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.expMean,5s,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.timeSlotSize,5s,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-93-20210125-18:30:53-36264,param,,,**.isBackoff,true,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,datetime,20210125-18:30:50,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,iterationvars,"$0=0.05, $1=10",
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,iterationvarsf,"0.05,10-",
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,measurement,"$0=0.05, $1=10",
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,network,slottedNetwork,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,processid,36204,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,repetition,1,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,replication,#1,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,resultdir,results,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,runnumber,81,
ThroughputVerification2-81-20210125-18:30:50-36204,runattr,,,seedset,1,
