run,type,module,name,attrname,attrvalue,value
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,configname,ThroughputVerification,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,datetime,20210124-16:54:19,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,iterationvars,"$0=0.8, $1=10",
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,iterationvarsf,"0.8,10-",
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,measurement,"$0=0.8, $1=10",
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,network,slottedNetwork,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,processid,30997,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,repetition,2,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,replication,#2,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,resultdir,results,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,runnumber,562,
ThroughputVerification-562-20210124-16:54:19-30997,runattr,,,seedset,2,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.sendProbability,0.8,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.numTransmitters,10,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.isBackoff,false,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.numChannels,1,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.expMean,1s,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.timeSlotSize,2s,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.numTransmitters,1,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.numChannels,1,
ThroughputVerification-562-20210124-16:54:19-30997,param,,,**.sendProbability,1,
