run,type,module,name,attrname,attrvalue,value
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,datetime,20210125-18:30:40,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,iterationvars,"$0=0.05, $1=2",
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,iterationvarsf,"0.05,2-",
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,measurement,"$0=0.05, $1=2",
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,network,slottedNetwork,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,processid,35937,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,repetition,30,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,replication,#30,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,resultdir,results,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,runnumber,30,
ThroughputVerification2-30-20210125-18:30:40-35937,runattr,,,seedset,30,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.sendProbability,0.05,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.numTransmitters,2,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.isBackoff,false,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.numChannels,1,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.expMean,1s,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.timeSlotSize,2s,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.numTransmitters,1,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.numChannels,1,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.sendProbability,1,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.expMean,5s,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.timeSlotSize,5s,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.isBackoff,true,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.sendProbability,0.05,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.numTransmitters,2,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.isBackoff,false,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.numChannels,1,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.expMean,1s,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.timeSlotSize,2s,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.numTransmitters,1,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.numChannels,1,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.sendProbability,1,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.expMean,5s,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.timeSlotSize,5s,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-30-20210125-18:30:40-35937,param,,,**.isBackoff,true,
ThroughputVerification2-2-20210125-18:30:34-35796,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-2-20210125-18:30:34-35796,runattr,,,datetime,20210125-18:30:34,
ThroughputVerification2-2-20210125-18:30:34-35796,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-2-20210125-18:30:34-35796,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-2-20210125-18:30:34-35796,runattr,,,iterationvars,"$0=0.05, $1=2",
