run,type,module,name,attrname,attrvalue,value
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,datetime,20210125-18:31:57,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,iterationvars,"$0=0.15, $1=2",
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,iterationvarsf,"0.15,2-",
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,measurement,"$0=0.15, $1=2",
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,network,slottedNetwork,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,processid,37587,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,repetition,25,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,replication,#25,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,resultdir,results,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,runnumber,345,
ThroughputVerification2-345-20210125-18:31:57-37587,runattr,,,seedset,25,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.sendProbability,0.15,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.numTransmitters,2,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.isBackoff,false,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.numChannels,1,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.expMean,1s,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.timeSlotSize,2s,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.numTransmitters,1,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.numChannels,1,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.sendProbability,1,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.expMean,5s,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.timeSlotSize,5s,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.isBackoff,true,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.sendProbability,0.15,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.numTransmitters,2,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.isBackoff,false,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.numChannels,1,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.expMean,1s,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.timeSlotSize,2s,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.numTransmitters,1,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.numChannels,1,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.sendProbability,1,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.expMean,5s,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.timeSlotSize,5s,
ThroughputVerification2-345-20210125-18:31:57-37587,param,,,**.deterministicInterarrivalTime,false,
