run,type,module,name,attrname,attrvalue,value
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,configname,ThroughputVerification,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,datetime,20210124-16:54:13,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,iterationvars,"$0=0.8, $1=5",
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,iterationvarsf,"0.8,5-",
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,measurement,"$0=0.8, $1=5",
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,network,slottedNetwork,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,processid,30841,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,repetition,11,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,replication,#11,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,resultdir,results,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,runnumber,531,
ThroughputVerification-531-20210124-16:54:13-30841,runattr,,,seedset,11,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.sendProbability,0.8,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.numTransmitters,5,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.isBackoff,false,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.numChannels,1,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.expMean,1s,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.timeSlotSize,2s,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.numTransmitters,1,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.numChannels,1,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.sendProbability,1,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.expMean,5s,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.timeSlotSize,5s,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-531-20210124-16:54:13-30841,param,,,**.isBackoff,true,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,configname,ThroughputVerification,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,datetime,20210124-16:54:11,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,iterationvars,"$0=0.8, $1=5",
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,iterationvarsf,"0.8,5-",
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,measurement,"$0=0.8, $1=5",
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,network,slottedNetwork,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,processid,30806,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,repetition,4,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,replication,#4,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,resultdir,results,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,runnumber,524,
ThroughputVerification-524-20210124-16:54:11-30806,runattr,,,seedset,4,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.sendProbability,0.8,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.numTransmitters,5,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.isBackoff,false,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.numChannels,1,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.expMean,1s,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.timeSlotSize,2s,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.numTransmitters,1,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.numChannels,1,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.sendProbability,1,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.expMean,5s,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.timeSlotSize,5s,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-524-20210124-16:54:11-30806,param,,,**.isBackoff,true,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,configname,ThroughputVerification,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,datetime,20210124-16:54:12,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,iterationvars,"$0=0.8, $1=5",
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,iterationvarsf,"0.8,5-",
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,measurement,"$0=0.8, $1=5",
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,network,slottedNetwork,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,processid,30821,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,repetition,7,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,replication,#7,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,resultdir,results,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,runnumber,527,
ThroughputVerification-527-20210124-16:54:12-30821,runattr,,,seedset,7,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.sendProbability,0.8,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.numTransmitters,5,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.isBackoff,false,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.numChannels,1,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.expMean,1s,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.timeSlotSize,2s,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.numTransmitters,1,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.numChannels,1,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.sendProbability,1,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.expMean,5s,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.timeSlotSize,5s,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-527-20210124-16:54:12-30821,param,,,**.isBackoff,true,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,configname,ThroughputVerification,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,datetime,20210124-16:54:18,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,iterationvars,"$0=0.8, $1=5",
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,iterationvarsf,"0.8,5-",
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,measurement,"$0=0.8, $1=5",
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,network,slottedNetwork,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,processid,30962,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,repetition,35,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,replication,#35,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,resultdir,results,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,runnumber,555,
ThroughputVerification-555-20210124-16:54:18-30962,runattr,,,seedset,35,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.sendProbability,0.8,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.numTransmitters,5,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.isBackoff,false,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.numChannels,1,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.expMean,1s,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.timeSlotSize,2s,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.numTransmitters,1,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.numChannels,1,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.sendProbability,1,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.expMean,5s,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.timeSlotSize,5s,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-555-20210124-16:54:18-30962,param,,,**.isBackoff,true,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,configname,ThroughputVerification,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,datetime,20210124-16:54:17,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,iterationvars,"$0=0.8, $1=5",
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,iterationvarsf,"0.8,5-",
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,measurement,"$0=0.8, $1=5",
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,network,slottedNetwork,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,processid,30947,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,repetition,32,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,replication,#32,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,resultdir,results,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,runnumber,552,
ThroughputVerification-552-20210124-16:54:17-30947,runattr,,,seedset,32,
ThroughputVerification-552-20210124-16:54:17-30947,param,,,**.sendProbability,0.8,
ThroughputVerification-552-20210124-16:54:17-30947,param,,,**.numTransmitters,5,
ThroughputVerification-552-20210124-16:54:17-30947,param,,,**.isBackoff,false,
