run,type,module,name,attrname,attrvalue,value
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,datetime,20210125-18:31:36,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,iterationvars,"$0=0.1, $1=10",
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,iterationvarsf,"0.1,10-",
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,measurement,"$0=0.1, $1=10",
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,network,slottedNetwork,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,processid,37187,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,repetition,36,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,replication,#36,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,resultdir,results,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,runnumber,276,
ThroughputVerification2-276-20210125-18:31:36-37187,runattr,,,seedset,36,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.sendProbability,0.1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.numTransmitters,10,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.isBackoff,false,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.numChannels,1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.expMean,1s,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.timeSlotSize,2s,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.numTransmitters,1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.numChannels,1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.sendProbability,1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.expMean,5s,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.timeSlotSize,5s,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.isBackoff,true,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.sendProbability,0.1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.numTransmitters,10,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.isBackoff,false,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.numChannels,1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.expMean,1s,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.timeSlotSize,2s,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.numTransmitters,1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.numChannels,1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.sendProbability,1,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.expMean,5s,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.timeSlotSize,5s,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification2-276-20210125-18:31:36-37187,param,,,**.isBackoff,true,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,configname,ThroughputVerification2,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,datetime,20210125-18:31:33,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,experiment,ThroughputVerification2,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,inifile,omnetpp.ini,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,iterationvars,"$0=0.1, $1=10",
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,iterationvarsf,"0.1,10-",
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,measurement,"$0=0.1, $1=10",
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,network,slottedNetwork,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,processid,37112,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,repetition,21,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,replication,#21,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,resultdir,results,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,runnumber,261,
ThroughputVerification2-261-20210125-18:31:33-37112,runattr,,,seedset,21,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.sendProbability,0.1,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.numTransmitters,10,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.isBackoff,false,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.numChannels,1,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.expMean,1s,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.timeSlotSize,2s,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.numTransmitters,1,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.numChannels,1,
ThroughputVerification2-261-20210125-18:31:33-37112,param,,,**.sendProbability,1,
