run,type,module,name,attrname,attrvalue,value
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,configname,ThroughputVerification,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,datetime,20210124-16:53:41,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,iterationvars,"$0=0.6, $1=10",
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,iterationvarsf,"0.6,10-",
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,measurement,"$0=0.6, $1=10",
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,network,slottedNetwork,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,processid,30234,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,repetition,13,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,replication,#13,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,resultdir,results,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,runnumber,413,
ThroughputVerification-413-20210124-16:53:41-30234,runattr,,,seedset,13,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.sendProbability,0.6,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.numTransmitters,10,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.isBackoff,false,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.numChannels,1,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.expMean,1s,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.timeSlotSize,2s,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.numTransmitters,1,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.numChannels,1,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.sendProbability,1,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.expMean,5s,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.timeSlotSize,5s,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-413-20210124-16:53:41-30234,param,,,**.isBackoff,true,
ThroughputVerification-429-20210124-16:53:44-30314,runattr,,,configname,ThroughputVerification,
ThroughputVerification-429-20210124-16:53:44-30314,runattr,,,datetime,20210124-16:53:44,
ThroughputVerification-429-20210124-16:53:44-30314,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-429-20210124-16:53:44-30314,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-429-20210124-16:53:44-30314,runattr,,,iterationvars,"$0=0.6, $1=10",
ThroughputVerification-429-20210124-16:53:44-30314,runattr,,,iterationvarsf,"0.6,10-",
ThroughputVerification-429-20210124-16:53:44-30314,runattr,,,measurement,"$0=0.6, $1=10",
ThroughputVerification-429-20210124-16:53:44-30314,runattr,,,network,slottedNetwork,
