run,type,module,name,attrname,attrvalue,value
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,configname,ThroughputVerification,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,datetime,20210124-16:53:13,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,iterationvars,"$0=0.4, $1=30",
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,iterationvarsf,"0.4,30-",
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,measurement,"$0=0.4, $1=30",
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,network,slottedNetwork,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,processid,29639,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,repetition,19,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,replication,#19,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,resultdir,results,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,runnumber,299,
ThroughputVerification-299-20210124-16:53:13-29639,runattr,,,seedset,19,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.sendProbability,0.4,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.numTransmitters,30,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.isBackoff,false,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.numChannels,1,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.expMean,1s,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.timeSlotSize,2s,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.numTransmitters,1,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.numChannels,1,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.sendProbability,1,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.expMean,5s,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.timeSlotSize,5s,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-299-20210124-16:53:13-29639,param,,,**.isBackoff,true,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,configname,ThroughputVerification,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,datetime,20210124-16:53:21,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,iterationvars,"$0=0.4, $1=30",
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,iterationvarsf,"0.4,30-",
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,measurement,"$0=0.4, $1=30",
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,network,slottedNetwork,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,processid,29753,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,repetition,39,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,replication,#39,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,resultdir,results,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,runnumber,319,
ThroughputVerification-319-20210124-16:53:21-29753,runattr,,,seedset,39,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.sendProbability,0.4,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.numTransmitters,30,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.isBackoff,false,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.numChannels,1,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.expMean,1s,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.timeSlotSize,2s,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.numTransmitters,1,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.numChannels,1,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.sendProbability,1,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.expMean,5s,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.timeSlotSize,5s,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-319-20210124-16:53:21-29753,param,,,**.isBackoff,true,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,configname,ThroughputVerification,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,datetime,20210124-16:53:19,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,iterationvars,"$0=0.4, $1=30",
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,iterationvarsf,"0.4,30-",
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,measurement,"$0=0.4, $1=30",
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,network,slottedNetwork,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,processid,29718,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,repetition,32,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,replication,#32,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,resultdir,results,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,runnumber,312,
ThroughputVerification-312-20210124-16:53:19-29718,runattr,,,seedset,32,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.sendProbability,0.4,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.numTransmitters,30,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.isBackoff,false,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.numChannels,1,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.expMean,1s,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.timeSlotSize,2s,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.numTransmitters,1,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.numChannels,1,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.sendProbability,1,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.expMean,5s,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.timeSlotSize,5s,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-312-20210124-16:53:19-29718,param,,,**.isBackoff,true,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,configname,ThroughputVerification,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,datetime,20210124-16:53:14,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,iterationvars,"$0=0.4, $1=30",
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,iterationvarsf,"0.4,30-",
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,measurement,"$0=0.4, $1=30",
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,network,slottedNetwork,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,processid,29663,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,repetition,21,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,replication,#21,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,resultdir,results,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,runnumber,301,
ThroughputVerification-301-20210124-16:53:14-29663,runattr,,,seedset,21,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.sendProbability,0.4,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.numTransmitters,30,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.isBackoff,false,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.numChannels,1,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.expMean,1s,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.timeSlotSize,2s,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.numTransmitters,1,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.numChannels,1,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.sendProbability,1,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.expMean,5s,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.timeSlotSize,5s,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-301-20210124-16:53:14-29663,param,,,**.isBackoff,true,
ThroughputVerification-309-20210124-16:53:17-29703,runattr,,,configname,ThroughputVerification,
ThroughputVerification-309-20210124-16:53:17-29703,runattr,,,datetime,20210124-16:53:17,
ThroughputVerification-309-20210124-16:53:17-29703,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-309-20210124-16:53:17-29703,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-309-20210124-16:53:17-29703,runattr,,,iterationvars,"$0=0.4, $1=30",
ThroughputVerification-309-20210124-16:53:17-29703,runattr,,,iterationvarsf,"0.4,30-",
ThroughputVerification-309-20210124-16:53:17-29703,runattr,,,measurement,"$0=0.4, $1=30",
