run,type,module,name,attrname,attrvalue,value
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,configname,ThroughputVerification,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,datetime,20210124-16:54:35,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,iterationvars,"$0=0.8, $1=30",
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,iterationvarsf,"0.8,30-",
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,measurement,"$0=0.8, $1=30",
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,network,slottedNetwork,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,processid,31286,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,repetition,19,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,replication,#19,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,resultdir,results,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,runnumber,619,
ThroughputVerification-619-20210124-16:54:35-31286,runattr,,,seedset,19,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.sendProbability,0.8,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.numTransmitters,30,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.isBackoff,false,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.numChannels,1,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.expMean,1s,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.timeSlotSize,2s,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.numTransmitters,1,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.numChannels,1,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.sendProbability,1,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.expMean,5s,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.timeSlotSize,5s,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-619-20210124-16:54:35-31286,param,,,**.isBackoff,true,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,configname,ThroughputVerification,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,datetime,20210124-16:54:35,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,iterationvars,"$0=0.8, $1=30",
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,iterationvarsf,"0.8,30-",
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,measurement,"$0=0.8, $1=30",
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,network,slottedNetwork,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,processid,31291,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,repetition,20,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,replication,#20,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,resultdir,results,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,runnumber,620,
ThroughputVerification-620-20210124-16:54:35-31291,runattr,,,seedset,20,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.sendProbability,0.8,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.numTransmitters,30,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.isBackoff,false,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.numChannels,1,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.expMean,1s,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.timeSlotSize,2s,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.numTransmitters,1,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.numChannels,1,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.sendProbability,1,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.expMean,5s,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.timeSlotSize,5s,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-620-20210124-16:54:35-31291,param,,,**.isBackoff,true,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,configname,ThroughputVerification,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,datetime,20210124-16:54:36,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,iterationvars,"$0=0.8, $1=30",
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,iterationvarsf,"0.8,30-",
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,measurement,"$0=0.8, $1=30",
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,network,slottedNetwork,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,processid,31301,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,repetition,22,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,replication,#22,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,resultdir,results,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,runnumber,622,
ThroughputVerification-622-20210124-16:54:36-31301,runattr,,,seedset,22,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.sendProbability,0.8,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.numTransmitters,30,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.isBackoff,false,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.numChannels,1,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.expMean,1s,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.timeSlotSize,2s,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.numTransmitters,1,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.numChannels,1,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.sendProbability,1,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.expMean,5s,
ThroughputVerification-622-20210124-16:54:36-31301,param,,,**.timeSlotSize,5s,
