,,,95% CI,,,,,,,,,,,,,,,,,,,,,,,,,,,corr,,,,,,,,,,100,,,,,
,VALORI (xi),xavg,(xi – xavg)^2,S^2,NUMERO CAMPIONI,Z(0.025) ,95% CI scissor,,Come usare questo file,,,0.2 CASE,0.4 CASE,0.6 CASE,0.8 CASE,0.5 CASE,,,,,,,,,OTHER STUFF,,,880,1,0.035504811681835,,,,,,,,,,samples,quantile,normal expected,mean (np),variance np(p-1),
,884,,-24068.2001,,,,,,,,,357,683,1095,1431,884,,,,,,,,,,,,944,32,-0.114585935697498,,,,,,,,,31,887,0.305,892.348898145471,,,-0.510073456968595
,944,,85611.7999,,,,,,,,,365,706,1053,1430,944,,,,,,,,,,,,886,33,-0.060930121525887,,,,,,,,,32,888,0.315,892.774097256229,,,-0.48172684958473
,886,,-20528.2001,,,,,,,,,332,690,1092,1433,886,,,,,,,,,,,,873,34,-0.065091059478992,,,,,,,,,33,889,0.325,893.193567147452,,,-0.453762190169879
,873,,-43395.2001,,,,,,,,,346,727,1065,1459,873,,,,,,,,,,,,912,35,0.185361607071089,,,,,,,,,34,889,0.335,893.607779882381,,,-0.426148007841278
,912,,26219.7999,,,,,,,,,388,705,1091,1405,912,,,,,,,,,,,,897,36,0.018330530180588,,,,,,,,,35,890,0.345,894.017174015365,,,-0.398855065642337
,897,,-915.200100000016,,,,,,,,,331,706,1100,1437,897,,,,,,,,,,,,897,37,-0.024328966213856,,,,,,,,,36,890,0.355,894.422158659224,,,-0.371856089385075
,897,,-915.200100000016,,,,,,,,,355,728,1053,1440,897,,,,,,,,,,,,858,38,-0.047382465796752,,,,,,,,,37,891,0.365,894.823117027943,,,-0.345125531470472
,858,,-69360.2001,,,,,,,,,355,726,1090,1431,858,,,,,,,,,,,,908,39,0.066429804655734,,,,,,,,,38,891,0.375,895.220409540534,,,-0.318639363964375
,908,,18939.7999,,,,,,,,,363,694,1074,1435,908,,,,,,,,,,,,889,40,-0.085327834495445,,,,,,,,,39,891,0.385,895.614376556598,,,-0.292374896226804
,889,,-15203.2001,,,,,,,,,358,734,1117,1440,889,,,,,,,,,,,,923,41,-0.057178173512451,,,,,,,,,40,892,0.395,896.005340801939,,,-0.266310613204095
,923,,46404.7999,,,,,,,,,338,708,1064,1452,923,,,,,,,,,,,,874,42,-0.008586333934113,,,,,,,,,41,892,0.405,896.393609532865,,,-0.240426031142308
,874,,-41648.2001,,,,,,,,,363,705,1080,1432,874,,,,,,,,,,,,917,43,0.035648957865566,,,,,,,,,42,893,0.415,896.779476479974,,,-0.214701568001744
,917,,35364.7999,,,,,,,,,314,722,1031,1427,917,,,,,,,,,,,,899,44,-0.116094577140229,,,,,,,,,43,893,0.425,897.163223605908,,,-0.189118426272792
,899,,2676.79989999998,,,,,,,,,367,736,1050,1437,899,,,,,,,,,,,,885,45,0.03642425924916,,,,,,,,,44,893,0.435,897.545122706503,,,-0.163658486233141
,885,,-22299.2001,,,,,,,,,369,699,1078,1450,885,,,,,,,,,,,,869,46,-0.147373433742858,,,,,,,,,45,894,0.445,897.925436880579,,,-0.138304207961404
,869,,-50363.2001,,,,,,,,,334,751,1075,1434,869,,,,,,,,,,,,923,47,-0.058160590259337,,,,,,,,,46,896,0.455,898.304421890331,,,-0.113038540644565
,923,,46404.7999,,,,,,,,,347,688,1091,1443,923,,,,,,,,,,,,906,48,-0.13354796902699,,,,,,,,,47,896,0.465,898.682327431562,,,-0.087844837895872
,906,,15311.7999,,,,,,,,,336,758,1090,1432,906,,,,,,,,,,,,899,49,0.050039439371218,,,,,,,,,48,897,0.475,899.059398330852,,,-0.062706777943214
,899,,2676.79989999998,,,,,,,,,345,707,1061,1452,899,,,,,,,,,,,,903,50,0.08403565112082,,,,,,,,,49,897,0.485,899.435875685081,,,-0.037608287661256
,903,,9884.79989999998,,,,,,,,,378,703,1058,1421,903,,,,,,,,,,,,868,51,0.065612176643008,,,,,,,,,50,897,0.495,899.811997957379,,,-0.012533469508069
,868,,-52100.2001,,,,,,,,,397,722,1108,1441,868,,,,,,,,,,,,880,52,-0.233755725654852,,,,,,,,,51,898,0.505,900.188002042621,,,0.012533469508069
,880,,-31124.2001,,,,,,,,,368,700,1138,1410,880,,,,,,,,,,,,903,53,0.065734132151239,,,,,,,,,52,898,0.515,900.564124314919,,,0.037608287661256
,903,,9884.79989999998,,,,,,,,,376,719,1069,1436,903,,,,,,,,,,,,863,54,0.23821236858686,,,,,,,,,53,898,0.525,900.940601669148,,,0.062706777943214
,863,,-60755.2001,,,,,,,,,368,740,1112,1415,863,,,,,,,,,,,,913,55,0.065734132151239,,,,,,,,,54,899,0.535,901.317672568438,,,0.087844837895872
,913,,28044.7999,,,,,,,,,341,709,1046,1402,913,,,,,,,,,,,,890,56,-0.233755725654852,,,,,,,,,55,899,0.545,901.695578109669,,,0.113038540644565
,890,,-13424.2001,,,,,,,,,372,736,1092,1457,890,,,,,,,,,,,,893,57,0.065612176643008,,,,,,,,,56,899,0.555,902.074563119421,,,0.138304207961405
,893,,-8075.20010000002,,,,,,,,,352,708,1057,1420,893,,,,,,,,,,,,867,58,0.08403565112082,,,,,,,,,57,901,0.565,902.454877293497,,,0.163658486233141
,867,,-53835.2001,,,,,,,,,334,724,1063,1456,867,,,,,,,,,,,,888,59,0.050039439371218,,,,,,,,,58,902,0.575,902.836776394092,,,0.189118426272793
,888,,-16980.2001,,,,,,,,,350,729,1103,1456,888,,,,,,,,,,,,887,60,-0.13354796902699,,,,,,,,,59,903,0.585,903.220523520026,,,0.214701568001744
,887,,-18755.2001,,,,,,,,,351,725,1051,1469,887,,,,,,,,,,,,913,61,-0.058160590259337,,,,,,,,,60,903,0.595,903.606390467135,,,0.240426031142308
,913,,28044.7999,,,,,,,,,362,668,1109,1436,913,,,,,,,,,,,,891,62,-0.147373433742858,,,,,,,,,61,903,0.605,903.994659198061,,,0.266310613204095
,891,,-11643.2001,,,,,,,,,367,703,1074,1439,891,,,,,,,,,,,,925,63,0.03642425924916,,,,,,,,,62,905,0.615,904.385623443402,,,0.292374896226804
,925,,50100.7999,,,,,,,,,350,711,1075,1421,925,,,,,,,,,,,,873,64,-0.116094577140229,,,,,,,,,63,906,0.625,904.779590459466,,,0.318639363964375
,873,,-43395.2001,,,,,,,,,361,707,1092,1438,873,,,,,,,,,,,,910,65,0.035648957865566,,,,,,,,,64,906,0.635,905.176882972057,,,0.345125531470472
,910,,22575.7999,,,,,,,,,371,721,1100,1460,910,,,,,,,,,,,,886,66,-0.008586333934114,,,,,,,,,65,906,0.645,905.577841340776,,,0.371856089385075
,886,,-20528.2001,,,,,,,,,349,759,1123,1461,886,,,,,,,,,,,,922,67,-0.057178173512451,,,,,,,,,66,907,0.655,905.982825984635,,,0.398855065642337
,922,,44559.7999,,,,,,,,,367,744,1058,1401,922,,,,,,,,,,,,920,68,-0.085327834495445,,,,,,,,,67,907,0.665,906.392220117619,,,0.426148007841278
,920,,40875.7999,,,,,,,,,356,736,1098,1462,920,,,,,,,,,,,,859,69,0.066429804655734,,,,,,,,,68,908,0.675,906.806432852548,,,0.45376219016988
,859,,-67643.2001,,,,,,,,,351,727,1073,1437,859,,,,,,,,,,,,850,70,-0.047382465796752,,,,,,,,,69,909,0.685,907.225902743771,,,0.48172684958473
,850,,-83024.2001,,,,,,,,,371,740,1085,1420,850,,,,,,,,,,,,906,71,-0.024328966213856,,,,,,,,,70,910,0.695,907.651101854529,,,0.510073456968595
,906,,15311.7999,,,,,,,,,359,738,1059,1422,906,,,,,,,,,,,,899,72,0.018330530180588,,,,,,,,,71,910,0.705,908.082540454177,,,0.53883603027845
